templateID1	templateID2	LmQuery1	LmQuery2	score
489397	495443	2023 изменение конструктор политика приказ учетный	2023 изменение конструктор политика приказ учетный	1.0000009536743164
453812	453889	возврат деньги е	возврат деньги е	1.0000008344650269
540438	540761	беспроцентный заем сотрудник	беспроцентный заем сотрудник	1.0000008344650269
466010	100000089	2 кс	2 кс	1.0000007152557373
502162	502167	патент экскурсия	патент экскурсия	1.0000007152557373
566539	592435	2 ндфл новогодний подарок	2 ндфл новогодний подарок	1.0000007152557373
11261	447652	водитель гпх договор	водитель гпх договор	1.0000005960464478
407785	429668	2019 2022 5 запас политика учетный фсба	2019 2022 5 запас политика учетный фсба	1.0000005960464478
570350	570348	исчислять кбк налог ндфл уведомление	исчислять кбк налог ндфл уведомление	1.0000005960464478
465539	465546	авансовый дата отчет	авансовый дата отчет	1.0000005960464478
506198	512826	взнос ипать мобилизация страховой	взнос ипать мобилизация страховой	1.0000005960464478
506201	512829	госконтракт заключение мобилизация	госконтракт заключение мобилизация	1.0000005960464478
517017	576194	1 выпадать май отпуск	1 выпадать май отпуск	1.0000005960464478
536440	536436	без вентиляция здание пробивка реконструкция система стена установка часть являться	без вентиляция здание пробивка реконструкция система стена установка часть являться	1.0000005960464478
540730	547820	начало отпуск срок уведомление	начало отпуск срок уведомление	1.0000005960464478
540723	547814	отпуск приказ произвольный	отпуск приказ произвольный	1.0000005960464478
543291	543292	бывший ос покупка употребление физлицо	бывший ос покупка употребление физлицо	1.0000005960464478
546714	547211	договор зарплата нельзя прописывать трудовой условие	договор зарплата нельзя прописывать трудовой условие	1.0000005960464478
550727	550722	взнос зачет заявление патент страховой	взнос зачет заявление патент страховой	1.0000005960464478
566456	566460	2 2023 6 выплачивать декабрь назначать ндфл ндфл ноябрь премия справка указывать	2 2023 6 выплачивать декабрь назначать ндфл ндфл ноябрь премия справка указывать	1.0000005960464478
100000028	100000057	зарплата расход сокращать	зарплата расход сокращать	1.0000005960464478
509933	512039	ндфл расчет сервис	ндфл расчет сервис	1.0000004768371582
439323	553578	аренда договор субаренда условие	аренда договор субаренда условие	1.0000004768371582
453525	453527	бухучет лицо оплата отражать третий	бухучет лицо оплата отражать третий	1.0000004768371582
489664	490026	договор кто подписывать	договор кто подписывать	1.0000004768371582
486122	585038	ипать касса ли	ипать касса ли	1.0000004768371582
486442	507624	есхн ндс	есхн ндс	1.0000004768371582
496791	586684	больничный оплата размер средний	больничный оплата размер средний	1.0000004768371582
506197	512825	мобилизация отмена проверка	мобилизация отмена проверка	1.0000004768371582
506198	512826	взнос ипать мобилизация	взнос ипать мобилизация	1.0000004768371582
506204	512832	во время закрывать ипать мобилизация	во время закрывать ипать мобилизация	1.0000004768371582
517062	517065	документ заработный индексация какой плата прописываться	документ заработный индексация какой плата прописываться	1.0000004768371582
537231	537588	мсфо справедливый стоимость	мсфо справедливый стоимость	1.0000004768371582
540742	547832	график отпуск приказ утверждение	график отпуск приказ утверждение	1.0000004768371582
540747	547838	отпуск приказ разделение часть	отпуск приказ разделение часть	1.0000004768371582
540741	547831	заявление отпуск счет	заявление отпуск счет	1.0000004768371582
542411	573489	декларация октмо усна	декларация октмо усна	1.0000004768371582
547704	547703	вещь забирать она оприходовать ответственный отказываться поклажедатель с хранение хранитель	вещь забирать она оприходовать ответственный отказываться поклажедатель с хранение хранитель	1.0000004768371582
559062	561171	13014 актив заполнять капитал мало ооо размер	13014 актив заполнять капитал мало ооо размер	1.0000004768371582
566803	585179	2 кластер	2 кластер	1.0000004768371582
574047	574041	бухгалтерский единый налоговый платеж учет	бухгалтерский единый налоговый платеж учет	1.0000004768371582
588270	588999	2024 больничный выплата год детский другой и пособие пособие размер ребенок социальный уход	2024 больничный выплата год детский другой и пособие пособие размер ребенок социальный уход	1.0000004768371582
589464	589408	5а строка счет фактура	5а строка счет фактура	1.0000004768371582
100000001	100000002	рикитикитави	рикитикитави	1.0000004768371582
100000001	100000003	рикитикитави	рикитикитави	1.0000004768371582
100000001	100000004	рикитикитави	рикитикитави	1.0000004768371582
100000001	100000006	рикитикитави	рикитикитави	1.0000004768371582
100000001	100000010	рикитикитави	рикитикитави	1.0000004768371582
100000001	100000014	рикитикитави	рикитикитави	1.0000004768371582
100000001	100000017	рикитикитави	рикитикитави	1.0000004768371582
100000001	100000018	рикитикитави	рикитикитави	1.0000004768371582
100000001	100000023	рикитикитави	рикитикитави	1.0000004768371582
100000001	100000026	рикитикитави	рикитикитави	1.0000004768371582
100000001	100000042	рикитикитави	рикитикитави	1.0000004768371582
100000001	100000048	рикитикитави	рикитикитави	1.0000004768371582
100000001	100000060	рикитикитави	рикитикитави	1.0000004768371582
100000001	100000093	рикитикитави	рикитикитави	1.0000004768371582
100000001	100000112	рикитикитави	рикитикитави	1.0000004768371582
100000001	100000115	рикитикитави	рикитикитави	1.0000004768371582
100000002	100000003	рикитикитави	рикитикитави	1.0000004768371582
100000002	100000004	рикитикитави	рикитикитави	1.0000004768371582
100000002	100000006	рикитикитави	рикитикитави	1.0000004768371582
100000002	100000010	рикитикитави	рикитикитави	1.0000004768371582
100000002	100000014	рикитикитави	рикитикитави	1.0000004768371582
100000002	100000017	рикитикитави	рикитикитави	1.0000004768371582
100000002	100000018	рикитикитави	рикитикитави	1.0000004768371582
100000002	100000023	рикитикитави	рикитикитави	1.0000004768371582
100000002	100000026	рикитикитави	рикитикитави	1.0000004768371582
100000002	100000042	рикитикитави	рикитикитави	1.0000004768371582
100000002	100000048	рикитикитави	рикитикитави	1.0000004768371582
100000002	100000060	рикитикитави	рикитикитави	1.0000004768371582
100000002	100000093	рикитикитави	рикитикитави	1.0000004768371582
100000002	100000112	рикитикитави	рикитикитави	1.0000004768371582
100000002	100000115	рикитикитави	рикитикитави	1.0000004768371582
100000003	100000004	рикитикитави	рикитикитави	1.0000004768371582
100000003	100000006	рикитикитави	рикитикитави	1.0000004768371582
100000003	100000010	рикитикитави	рикитикитави	1.0000004768371582
100000003	100000014	рикитикитави	рикитикитави	1.0000004768371582
100000003	100000017	рикитикитави	рикитикитави	1.0000004768371582
100000003	100000018	рикитикитави	рикитикитави	1.0000004768371582
100000003	100000023	рикитикитави	рикитикитави	1.0000004768371582
100000003	100000026	рикитикитави	рикитикитави	1.0000004768371582
100000003	100000042	рикитикитави	рикитикитави	1.0000004768371582
100000003	100000048	рикитикитави	рикитикитави	1.0000004768371582
100000003	100000060	рикитикитави	рикитикитави	1.0000004768371582
100000003	100000093	рикитикитави	рикитикитави	1.0000004768371582
100000003	100000112	рикитикитави	рикитикитави	1.0000004768371582
100000003	100000115	рикитикитави	рикитикитави	1.0000004768371582
100000004	100000006	рикитикитави	рикитикитави	1.0000004768371582
100000004	100000010	рикитикитави	рикитикитави	1.0000004768371582
100000004	100000014	рикитикитави	рикитикитави	1.0000004768371582
100000004	100000017	рикитикитави	рикитикитави	1.0000004768371582
100000004	100000018	рикитикитави	рикитикитави	1.0000004768371582
100000004	100000023	рикитикитави	рикитикитави	1.0000004768371582
100000004	100000026	рикитикитави	рикитикитави	1.0000004768371582
100000004	100000042	рикитикитави	рикитикитави	1.0000004768371582
100000004	100000048	рикитикитави	рикитикитави	1.0000004768371582
100000004	100000060	рикитикитави	рикитикитави	1.0000004768371582
100000004	100000093	рикитикитави	рикитикитави	1.0000004768371582
100000004	100000112	рикитикитави	рикитикитави	1.0000004768371582
100000004	100000115	рикитикитави	рикитикитави	1.0000004768371582
100000006	100000010	рикитикитави	рикитикитави	1.0000004768371582
100000006	100000014	рикитикитави	рикитикитави	1.0000004768371582
100000006	100000017	рикитикитави	рикитикитави	1.0000004768371582
100000006	100000018	рикитикитави	рикитикитави	1.0000004768371582
100000006	100000023	рикитикитави	рикитикитави	1.0000004768371582
100000006	100000026	рикитикитави	рикитикитави	1.0000004768371582
100000006	100000042	рикитикитави	рикитикитави	1.0000004768371582
