bot	sys	pubid	text	templateId	templateText	timestamp	etalon_text
kuber	15.0	25	Здравствуйте есть ли образец внесения изменений в учетную политику 2024 года по счету 303..14	568839	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://vip.gosfinansy.ru/#/document/16/142494/actual/	2024-02-08T10:00:52.619	изменения в учетную политику 2024 года
kuber	15.0	21	добрый день. Какой будет КОСГУ для приобритения дорожных знаков	554666	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://www.gosfinansy.ru/#/document/12/485792/actual/	2024-02-08T10:02:36.159	по какому косгу учесть дорожные знаки
kuber	15.0	224	"Еще раз добрый день, у меня остались вопросы по предыдущему обращению, Вы мне рекомендовали оплату услуг по проведению негосударственной экспертизы сметной документации и результатов инженерных изысканий по объекту ""Капитальный ремонт гидротехнического сооружения Сысертского водохранилища на р. Сысерть"" проводить по КВР 244, но мне кажется КВР 243 здесь больше подходит, объясните мне пожалуйста еще раз"	580936	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://plus.gosfinansy.ru/#/document/12/503935/actual/	2024-02-08T10:06:06.572	экспертиза сметной документации капитального ремонта квр
kuber	15.0	25	Здравствуйте заявка-обоснование на закупки товаров, работ, услуг малого объема 0504518 с 01.01.2024 заполняется или теперь только 0510521	437866	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://vip.gosfinansy.ru/#/document/118/74924/actual/	2024-02-08T10:07:07.666	заявка-обоснование закупки товаров, работ, услуг малого объема (ф. 0504518) пример
kuber	15.0	25	Добрый день! можно ли на основании маршрутной квитанции принять к расходу по командировкам проезд на аэроэкспрессе???	502676	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://vip.gosfinansy.ru/#/document/86/546568/actual/	2024-02-08T10:07:39.598	билет на аэроэкспресс КОСГУ
kuber	15.0	224	Я не понимаю почему экспертизу при капитальном ремонте мы должны отнести на квр 244, если бы это был текущий ремонт то понятно, но в данном случае у меня остался вопрос	580936	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://plus.gosfinansy.ru/#/document/12/503935/actual/	2024-02-08T10:07:53.210	квр экспертизы проведения капитального ремонта
kuber	15.0	21	Добрый день. казенное учреждение перед составлением  годовой отчетности проводит годовую инвентаризацию, учреждение Оформляет решение о проведении инвентаризации в нем необходимо указать в отношении каких бухгалтерских счетов будет произведена проверка. Вопрос: Какие счета должны быть перечислены в решении если, в данном учреждение нет  доходов, нет кассы, нет остатков на лицевых сетах (он всего один), на конец года Дт и Кт отсутствует, расходов будущих периодов нет ?	573836	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://www.gosfinansy.ru/#/document/86/671855/actual/	2024-02-08T10:10:47.825	нужно ли проводить инвентаризацию кассы, если в учреждении нет наличных денег
kuber	15.0	224	Добрый день,подскажите пожалуйста начисляются ли страховые взносы от несчастных случаев и проф заболеваний (0,2%) с договоров ГПХ по предоставлению услуг	572091	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://plus.gosfinansy.ru/#/document/86/667873/actual/	2024-02-08T10:10:49.951	облагается ли страховыми взносами от несчастных случаев больничный
kuber	15.0	25	внутреннее перемещение с разных источников проводки	581237	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://vip.gosfinansy.ru/#/document/16/144337/actual/	2024-02-08T10:11:53.681	какими проводками отразить внутреннее перемещение основных средств
kuber	15.0	25	Добрый день! Подскажите пожалуйста может ли работодатель перечислять заработную плату сотрудника (с согласия сотрудника) на счета других физических лиц. Спасибо	497571	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://vip.gosfinansy.ru/#/document/12/450200/actual/	2024-02-08T10:13:27.198	можно ли перечислять заработную плату на счет другого физического лица
kuber	15.0	25	Добрый день. Подскажите. Имеется контракт у казенного учреждения. Срок действия до его исполнения. контракты 2020 года, при этом подрядчик не исполнил контракт в срок. Обязательна ли регистрация в следующем году? или если не регистрировать бюджетное обязательство, что мы нарушаем?	585377	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://vip.gosfinansy.ru/#/document/86/694179/actual/	2024-02-08T10:14:22.060	подрядчик не приступил своевременно к исполнению контракта
kuber	15.0	224	Добрый день. Может быть материально-ответственное лицо членом комиссии по поступлению и выбытию активов?	577316	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://plus.gosfinansy.ru/#/document/16/143779/actual/	2024-02-08T10:14:23.616	материально ответственное лицо не может быть в комиссии по инвентаризации
kuber	15.0	224	как вернуть на баланс ошибочно списанные основные средства?	571062	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://plus.gosfinansy.ru/#/document/12/495863/actual/	2024-02-08T10:15:39.461	как вернуть поставщику основные средства
kuber	15.0	224	Здравствуйте! Какие документы подтверждают загран командировку для бюджетного учреждения?	584056	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://plus.gosfinansy.ru/#/document/86/692066/actual/	2024-02-08T10:15:58.535	загран командировка
