TemplateID	LmQuery	Query
1768	2023 год рефинансирование ставка	ставки рефинансирования в 2023 году
1768	2021 г рефинансирование ставка	ставка рефинансирования 2021 г
1768	ключевой ставка	ставка ключевая
1768	2023 ставка цб	ставка цб 2023
1768	год рефинансирование ставка	ставка рефинансирования по годам
10852	заявление увольнение	заявление об увольнении
10852	заявление собственный увольнение	заявление на увольнение по собственному
445758	выдача поисковый	поисковая выдача
445758	seo специалист	SEO специалист
445758	сео	сео
426503	договор качество проверка	Проверка качества договора
426503	договор проверять	проверить договор
426503	документ проверять	Как проверить документы
427337	мессенджер телеграмма	телеграмм мессенджер
427337	мессенджер	через мессенджеры
427337	вк мессенджер	вк мессенджер
550514	disc	DISC
550514	disc проходить тест	пройти тест disc
447654	маркетинг триггер	триггер маркетинг
447654	писать сайт	что писать на сайте
447654	прием убеждение	приемы убеждения
447654	продажа психология	психология в продажах
447682	продажа триггер	триггер продаж
447682	прием продажа	приемы продаж
447682	cta	CTA
448504	таргетинг	таргетинг
448504	smm маркетинг	smm-маркетинг
449379	оформление сайт	оформление сайта
449379	домен	домен
450105	омниканальность	омниканальность
450105	маркетинг офлайн	офлайн-маркетинг
451227	ассортимент управление	управление ассортиментом
451227	ассортимент проанализировать	как проанализировать ассортимент
451227	abc анализ ассортимент	ABC-анализ ассортимента
451227	ассортиментный политика	ассортиментная политика
450402	analytics google	Google Analytics
450402	google анализировать онлайн показатель	как анализировать онлайн-показатели в Google
455335	клиент купить товар убеждать	как убедить клиента купить товар
455335	клиент психология	психология клиента
459386	email маркетинг	email-маркетинг
459386	рассылка рекламный	рекламная рассылка
463438	накладная товар	накладная по товару
463438	12 заполнение обязательный реквизит торг	торг-12 реквизиты обязательные для заполнения
463438	12 торг	торг-12
463438	накладной товарный	товарная накладная
523889	вы высокий цена	У вас высокие цены
523889	быть другой менять мы не они работать с уже	Мы уже работаем с другими, менять их не будем
523889	возражение продукт	возражения по продукту
523889	вы директор перезванивать	Директор вам перезвонит
523889	кризис мы надо не ничто страна	В стране кризис, нам ничего не надо
463494	деловой партнер	деловые партнеры
463494	визитка писать	что писать на визитках
463494	визитка	визитки
463476	выкладка товар	Выкладка товаров
463476	маршрут покупатель	Маршрут покупателя
463476	мерчендайзинг	Мерчендайзинг
463460	клиент теплый	теплый клиент
463460	готовый клиент купить	клиент, готовый купить
463461	клиент потенциальный	потенциальный клиент
463461	клиент холодный	холодные клиенты
463856	клиент повышать удовлетворенность	как повысить удовлетворенность клиентов
463856	сиасай	сиасай
463751	потребитель	Потребители
463751	клиент лояльный	Лояльные клиенты
463752	покупатель постоянный	Постоянные покупатели
